Hash_S3_AWS,Hash_Local_AWS,Hash_Bucket_GCF,Hash_Local_GCF
1146,1386,30673,24230
1575,1360,22685,25093
1140,1799,24806,26475
1133,1095,24510,24220
1574,1455,24789,25807
1106,1283,22373,30099
1490,1219,21751,22983
901,1486,24146,24769
1123,1323,24509,24329
702,1600,21982,23927
1099,1748,22891,24144
1026,1670,23319,26474
1393,1369,22036,32017
1247,1374,19958,27723
1245,1110,23094,25078
1301,1381,21015,25673
1282,1820,28517,26294
1293,1855,21232,28353
1499,1204,22974,25276
1350,1410,25082,28066
1278,1538,20978,25927
992,1355,26540,26844
1560,1298,24875,32414
1206,1476,22073,25607
1303,1191,22677,26185
1076,1376,22394,26794
1583,1437,21787,26082
1315,1477,21471,21705
1358,1605,25218,25054
1014,1672,22948,24404
1023,1390,21935,24679
1228,1576,24798,21877
938,1130,21719,27702
1138,899,26005,35117
1309,1272,22072,51930
1428,1677,21996,25420
1263,1368,21973,25185
1521,1441,22737,25030
780,2214,23067,25056
962,1386,21424,25534
837,1426,21531,26916
938,1661,22818,22083
1186,1254,21342,25826
1410,1316,23108,23330
1065,618,26654,23332
1166,1197,21906,34917
1114,1029,23451,35851
1629,1612,21721,25602
1374,1294,21436,24941
1352,1176,23043,27489
1403,2365,22841,28262
1459,1498,22949,22188
1457,1498,21641,35931
1222,1485,36427,39152
1567,1308,24628,28256
1312,1323,23785,24993
1169,1559,25883,25576
1212,1573,26865,26849
1445,2041,24718,26751
444,1142,22577,24787
1062,1218,23697,28587
1199,1583,22496,23637
1537,952,24550,24453
919,1461,30174,33896
1851,1129,23402,23687
1409,1521,19494,25428
1418,1669,23952,24734
1473,1392,21124,25664
842,1301,21519,33545
1240,1074,33907,26783
1766,1263,27202,28558
1225,1149,24583,59322
644,1319,21970,24186
1077,1141,27479,25102
1994,1175,24187,23289
1413,1505,24835,25114
957,1375,22366,26828
1466,1490,24864,22339
1896,1156,23354,25960
1397,1507,21729,23551
1466,1566,28068,25634
1361,1644,27608,25748
1341,1693,25082,26041
1028,1292,21548,25716
1155,1235,23297,22543
1233,1226,23894,25995
992,1550,24541,33070
1397,1151,24312,23290
1244,1324,36804,26962
998,1485,25458,26790
1044,1499,22663,28467
1524,1489,22043,25998
2647,1222,23637,26061
1193,1863,23609,25985
1410,1208,24423,25288
1343,1426,21862,25823
1016,1503,23282,27274
1401,1169,24265,23578
1207,1315,21622,27244
1331,1251,22866,23306
1337,1555,25293,23506
1023,1386,20852,24926
1401,1498,26342,24124
1393,1690,20925,27710
1666,1376,22388,27556
1782,1706,37944,25757
1331,1600,24376,26568
1390,1443,35853,26693
1228,1599,21644,24897
1356,1469,23998,26170
1003,1180,23332,24359
1313,1572,21438,23756
1571,2335,21822,24859
1452,1341,21819,21346
966,1374,24608,23386
1268,1204,23572,24425
1437,2162,23775,26308
1215,1351,24183,25627
999,1209,26084,25102
1211,1584,23472,30457
1655,1371,21574,26127
1238,1528,21849,25757
1243,1440,22640,22482
1178,1172,25533,25777
978,1452,25278,25270
977,2444,21536,24517
1016,1442,22314,25901
1307,1251,25260,27791
1775,1257,51823,23329
1080,1172,22282,24937
1497,1376,25191,26338
1035,1203,24258,24610
1614,1518,24166,25019
992,2124,23085,23776
1005,1250,22731,26169
1112,1447,26276,27962
1786,1536,29378,40400
977,1708,23434,24338
1249,1341,22434,28558
1573,1420,21049,25042
1375,1251,22443,25246
986,1736,22485,26360
