Hash_S3_AWS,Hash_Local_AWS,Hash_Bucket_GCF,Hash_Local_GCF
1052,1701,21132,22880
993,581,26216,24017
1450,989,25474,21997
1530,1296,22116,28764
1453,1484,22138,25829
1087,2205,22715,34740
1513,1427,21721,28176
1376,780,22403,25559
1207,1648,20987,22072
1626,1461,24757,24408
1095,1673,22633,23841
1239,1757,24066,22768
1284,1761,21507,28827
1480,1403,30477,25553
1299,1739,24476,22452
1151,1346,20991,24445
1208,1512,25558,24667
1315,1663,24513,27640
848,1481,21639,27271
1781,1343,23247,24479
1745,1239,25409,25573
1205,771,24502,25163
1379,1355,23227,20577
972,1638,21661,28135
1143,1307,25454,25127
1082,1338,36580,26941
1232,1423,21258,26590
1063,1526,22005,25788
1136,1327,22067,24588
1377,940,20488,25993
1290,1375,27447,24272
1235,1528,20171,26049
671,1424,24885,25165
976,1598,25994,22871
1360,1540,24880,22266
1232,1484,21576,26117
1393,1354,25620,26638
475,1384,21977,22853
1049,1109,20540,23846
1307,1288,26507,30893
1434,1020,23608,24131
979,1093,21679,37618
975,1258,23731,27532
1831,1323,23831,27854
1031,1498,25063,25010
1430,1383,27921,28430
1268,1845,21883,26129
2176,1639,24104,25588
1665,1027,20501,30971
1210,1254,24171,24476
1629,1263,22128,28018
1274,1256,20412,24922
1623,1596,22707,26200
1107,936,22575,27752
964,1246,20475,35903
1104,2383,26673,33632
1278,1109,21722,34766
2043,1490,23209,26200
1106,1077,21397,22276
1239,1366,21115,20536
1592,2330,28291,34491
1173,1855,24352,27671
1148,1207,38863,27695
1104,2275,22290,24818
1292,1652,25774,29942
1473,1308,22210,26348
1046,1480,25652,26305
1419,1418,20953,28844
1091,1217,25298,28695
1168,1416,24593,25627
1017,1974,22598,23301
1315,1553,20432,29274
1124,2494,22716,24047
1231,1359,21421,23029
2466,2357,19303,24703
1471,1186,21572,25561
1436,1484,24168,25784
2402,2269,21417,24930
1424,1143,22649,26638
1775,1113,28836,29838
1902,1667,36068,25350
1228,1278,27180,25936
1440,1716,22376,26697
1128,1095,26616,29104
1608,1153,23599,27381
1619,1390,22074,28363
1666,1185,20570,24420
1659,2526,26856,29343
1225,1358,22315,24899
1273,1458,24881,23003
1183,1077,25132,25123
1082,1129,23735,22934
1103,1601,21215,25017
1111,1289,23762,40214
911,1393,21641,25558
1153,1730,22984,26544
1068,660,20074,25522
999,1696,29211,25733
1687,1592,23798,25233
927,1765,25092,26850
1141,1468,28322,27528
1439,1214,25457,27110
1049,1263,21029,27325
1277,2339,23252,30196
1080,1635,22509,27536
1389,1266,25809,23649
1155,1081,24039,26172
822,1677,22310,25757
1517,1564,25383,23243
1311,1123,19012,25841
1261,1513,23500,32821
1163,1371,23181,21821
770,1276,24589,28572
1728,1658,23355,25691
1245,1720,28327,24694
2108,1167,24075,24688
1176,1340,21668,26263
1200,1375,23441,22497
1355,1453,24464,27321
1641,1007,25208,26333
1278,1229,21183,36525
1334,1016,24979,21856
954,1620,25201,27148
1761,1446,52061,23662
1216,1534,25057,25874
1274,1704,24003,25536
947,1465,22845,23063
1159,1072,24114,24527
1052,1540,20131,23000
1301,1183,21150,27954
1362,1485,24757,25418
1330,1670,27182,23902
1989,1141,23211,22707
1247,1405,31790,27123
1381,1369,22288,23871
1168,1118,24117,28422
1315,1288,23149,23906
1217,1376,20319,26941
1287,1577,24034,26965
1094,1593,24459,26048
1526,1224,20945,23950
1101,1722,22170,21976
1238,1477,21564,23374
1615,1143,24556,25913
1353,1751,26934,28334
1421,2291,22035,26108
994,1740,23608,30134
1299,1259,21196,22377
1283,1307,24743,25144
1463,1292,18698,26213
685,1351,27382,22317
1638,1322,23821,25100
1293,1162,25114,26501
1449,1203,21999,26066
1395,1681,20512,21908
1537,1417,26569,24624
1017,924,24803,22773
1544,1842,27042,22781
1348,1312,24640,48848
1240,1533,22636,22146
1382,1367,22598,24182
1101,1719,27442,25072
1309,1758,21757,26178
1368,1537,23669,25745
1248,1560,37989,38172
1664,1220,20077,21749
1484,1031,25287,24476
770,1198,23058,24242
1575,1594,22936,24378
1740,1348,24569,24637
1803,970,25176,25832
1434,1747,23608,29789
1322,1020,28578,25095
747,1348,25075,22973
1110,1480,21713,28076
1443,1325,23588,26080
1105,1392,21941,34698
1897,1117,53927,26454
1056,1489,25096,25210
1236,1181,25002,26274
1411,1089,21525,26504
1477,1059,22238,35079
