Hash_S3_AWS,Hash_Local_AWS,Hash_Bucket_GCF,Hash_Local_GCF
1096,1256,22966,23761
1272,2179,22487,24172
1443,1108,24468,21457
846,1933,33427,25611
1210,1584,19606,24415
1315,985,25330,27376
1358,1958,24886,26248
1638,1479,21779,25630
1534,1546,26358,23984
1234,1313,21333,29407
1155,1212,22904,26518
1180,1646,23634,27177
1179,1388,31034,26514
1125,1825,26813,22698
1464,1058,24103,28599
1349,2133,21148,23407
1185,1797,26019,23787
1476,1235,24178,28629
1450,1481,29347,22931
813,1085,32052,28342
1869,1669,33863,27495
1058,1533,23350,27069
1188,1144,24336,27496
812,1958,21428,23731
816,1670,28178,25139
1916,1889,20681,22006
1537,1607,26772,25915
2006,1148,23734,23550
1152,1688,24364,26235
1231,1237,28312,24755
1260,1263,20976,26880
1079,1046,23162,27710
1054,1145,21064,25066
658,1561,23408,66301
1084,1244,28587,25958
1561,1697,35855,30520
1394,975,30367,26406
615,2805,26612,24722
1434,2070,24970,24715
1013,1073,25614,25851
1230,1471,25377,28915
970,1282,23404,34399
1468,1163,24768,21942
1218,1318,30833,27243
1343,1428,22779,28422
1627,1102,20128,25913
879,2052,18859,27263
799,1728,25447,21190
623,1284,22535,26712
1469,2115,24841,25609
1536,1345,18972,26245
1229,1615,24316,24684
1149,1659,25921,22305
1628,2106,24383,24870
1306,1265,21684,22990
1333,1241,23750,24444
1167,1937,22505,22257
1287,1388,18972,27522
1287,1655,22944,28212
818,1326,24641,28038
900,1627,24388,22384
776,1216,31980,24224
1187,1224,23765,24102
1016,1842,19700,22436
1113,1312,22441,27285
853,1014,27849,22061
1396,1116,34598,29975
677,1614,26978,33324
1362,1324,29601,22629
1175,1292,39199,25254
1727,1246,23444,25515
1456,2083,26040,34189
1111,1821,22434,22491
707,1132,21868,24348
1135,971,19921,34060
1698,1654,23554,34238
1557,1281,22613,26302
1244,1028,21185,26690
949,1855,24662,27984
1137,1488,26718,21259
1332,2684,19578,25263
1161,908,26369,25495
1508,1310,26938,22159
1664,1576,54102,23737
