Hash_S3_AWS,Hash_Local_AWS,Hash_Bucket_GCF,Hash_Local_GCF
1828,1284,22225.5513,26592.6985
1291,1318,21962.6082,38034.9005
1199,1691,23879.2672,30201.4814
1284,1592,21279.2912,25943.5012
2691,1133,23815.8194,26293.8375
2013,1432,21146.992,27656.2141
784,1392,22592.6316,24681.8972
1232,1270,23599.9268,23494.9345
1267,1237,24176.7411,26523.456
1196,1393,24202.2155,26296.8977
940,1516,23137.6732,26858.07
1475,1224,20717.3799,24972.6899
1166,2260,27449.8998,25644.9847
1256,1292,24114.6856,22458.9492
1238,1324,23562.2306,25549.726
1317,1512,22350.2008,23193.6903
1346,1320,22664.4837,25797.8458
1302,1376,22739.674,28906.5801
1576,1569,22352.3252,24233.3372
1240,1298,22284.9941,25159.1579
1167,1388,21502.9497,25715.3473
1080,1070,25326.3916,35061.846
1134,1223,24201.7559,23385.2259
846,1202,24661.6578,25602.3903
1616,1224,51722.9946,24276.6748
730,1464,20998.3879,24929.8398
1287,1256,22523.4868,26236.7396
1287,1512,23066.5615,24990.1455
1326,1536,20678.3506,25246.8127
1195,2472,21245.5732,24409.0568
1024,1356,21492.391,28291.8537
915,740,25680.7739,22853.5432
1255,1294,20738.064,27698.5368
1423,1192,22003.4477,25244.2192
984,1344,22271.727,28661.787
1159,1425,25888.9066,26047.6163
1272,1394,20905.5852,39930.6815
975,1140,25422.1482,24307.0652
1200,1488,23136.8646,25647.5924
1032,1328,22510.1858,25510.8605
1252,1427,23505.9425,26427.1363
1373,1310,23225.5383,47731.4402
1522,1503,21803.6441,28919.0244
1434,1550,22336.2346,23324.5303
1531,1472,25158.5332,26353.2799
1712,1220,23724.4357,24466.693
1463,1336,21719.0621,25809.5561
1456,1464,22501.902,31601.6061
1320,1451,27600.2824,25712.8574
1207,1377,25118.5323,23130.9254
1055,1476,21882.0379,26249.1123
1252,2064,24993.2203,24156.1725
1270,1256,28798.3775,26642.8777
1200,2232,24324.8277,26567.0402
1220,1421,21823.0311,28739.0714
1020,1224,23276.7914,24620.009
1609,1450,24237.6435,32097.207
1323,1340,28079.5667,25830.8513
1316,2340,23176.0925,34215.6256
1020,1166,24340.0892,26984.3016
1420,1309,23176.0346,34624.0656
1271,1380,24471.3392,25716.7466
1412,2504,21777.4364,23691.5283
1202,1332,23236.0965,24624.9711
1389,1354,27097.8612,25831.6867
1835,1384,24654.4118,23587.4706
1133,1663,23571.1788,27182.637
1211,1520,36718.9637,26675.8071
1060,1683,23365.8806,25303.979
1304,1428,22878.0428,24272.4619
1052,1352,21998.4458,23876.2074
1075,1792,24912.3834,28282.0709
1756,1313,20917.731,25947.2966
1096,1501,23221.8487,24297.8531
1376,1484,23181.3787,27774.5116
811,1388,26280.086,26104.4263
1303,1500,22492.6545,27095.6782
979,1523,21030.3891,24559.4016
1272,1497,22531.9588,23142.6884
1218,1332,22058.4317,26915.3156
1396,1320,24019.3736,28424.7385
1508,1249,20558.669,32103.3631
1272,1428,20878.0195,24846.3397
1478,2153,25448.2874,24420.0017
1004,3007,22307.3759,23333.3958
1208,1412,24289.8872,27956.4618
1144,1312,23299.7968,25914.8851
1336,1443,22526.5458,25082.5072
1776,1396,23008.435,26227.3728
1383,920,24973.4149,24578.6638
987,1356,24608.0782,41668.4048
1325,1352,25921.2315,30583.1899
1192,1384,22866.4629,23098.3335
1032,2372,27411.6235,32695.0185
964,1511,26681.2702,26007.7095
1216,1038,24747.3682,26665.6695
1252,1353,23750.8931,23958.7391
